cluster_id,violation_count,centre_lat,centre_lon,dist_to_centre_km,peak_hour_frac,weekend_frac,hour_sin_mean,hour_cos_mean,morning_peak_frac,evening_peak_frac,unique_days,viol_SCOOTER_frac,viol_CAR_frac,viol_MOTOR_CYCLE_frac,viol_PASSENGER_AUTO_frac,viol_MAXI-CAB_frac,spread_km,violation_density,recurrence_score,norm_density,norm_proximity,norm_recurrence,congestion_risk_score,crs_predicted,enforcement_rank,enforcement_tier
30,744,13.03429422829196,77.62479054702956,7.7303834936387625,0.07795698924731183,0.4327956989247312,-0.14297875172464994,0.6468842259803667,0.03494623655913978,0.043010752688172046,89,0.06451612903225806,0.4018817204301075,0.038978494623655914,0.013440860215053764,0.02956989247311828,0.4656401058279445,1092.250631111027,0.5855263157894737,0.029965683038714268,0.8397791040941992,0.5827814563670015,29.94907727233911,29.562404987530364,41,🟡 MEDIUM
29,575,12.978982911188861,77.69526599405917,12.045986120111795,0.07652173913043478,0.15304347826086956,0.01883308607054178,0.7036487075046702,0.01391304347826087,0.06260869565217392,87,0.07652173913043478,0.33217391304347826,0.05565217391304348,0.07304347826086957,0.3565217391304348,0.16472832433026507,6744.991561303832,0.5723684210526315,0.19390370832150844,0.6982672663295636,0.5695364232677514,29.890817611391146,29.483450258491303,42,🟡 MEDIUM
71,26,13.072321749999999,77.60490693846154,10.806751981573685,0.5,0.15384615384615385,0.7747529920147807,-0.06895743149282503,0.5,0.0,6,0.19230769230769232,0.46153846153846156,0.3076923076923077,0.0,0.0,0.1969215297940891,213.42096210258092,0.039473684210526314,0.004478295189814182,0.7389026805564112,0.03311258274812508,29.304381308714504,29.41095704770143,43,🟡 MEDIUM
100,106,12.985459871698112,77.74565409339623,17.526931692826487,0.009433962264150943,0.4716981132075472,0.7643177303705073,0.4475325526404993,0.0,0.009433962264150943,7,0.6226415094339622,0.0,0.36792452830188677,0.0,0.0,0.04979294415105874,13496.339174192724,0.046052631578947366,0.3897029868171816,0.5185429617967615,0.0397350992977501,29.360644956193333,29.389926640506776,44,🟡 MEDIUM
82,90,13.068550066666667,77.53030765444444,11.703376676743208,0.4111111111111111,0.24444444444444444,0.5199539132869113,0.09881049570482096,0.35555555555555557,0.05555555555555555,18,0.34444444444444444,0.14444444444444443,0.3111111111111111,0.044444444444444446,0.022222222222222223,0.14029954716316936,1455.392384771297,0.11842105263157894,0.0404973424103326,0.7095016862154906,0.11258278134362526,29.455490744329925,29.356590684576627,45,🟡 MEDIUM
13,200,13.047522586,77.5455325475,8.862889170211485,0.24,0.295,0.3263261744329825,0.35447321717236724,0.23,0.01,53,0.075,0.72,0.015,0.005,0.0,0.3685981852703464,468.56919934803733,0.34868421052631576,0.011877979464214372,0.802643395957497,0.3443708605805008,28.86230580620245,29.341072046323955,46,🟡 MEDIUM
8,483,12.989556180069998,77.5031629377842,8.877098826434581,0.11594202898550725,0.2360248447204969,0.5374061050382675,0.4189072986523892,0.10144927536231885,0.014492753623188406,96,0.42650103519668736,0.21325051759834368,0.2194616977225673,0.08695652173913043,0.0,0.31892722871290563,1511.5205631003978,0.631578947368421,0.04212514436192132,0.8021774507025287,0.6291390722143766,29.068118960704236,29.04545292187517,47,🟡 MEDIUM
93,53,13.081696405819756,77.54826110635493,12.242653045631194,0.1320754716981132,0.2830188679245283,0.2519159799995698,0.5590849687165164,0.05660377358490566,0.07547169811320754,35,0.09433962264150944,0.24528301886792453,0.1320754716981132,0.24528301886792453,0.0,0.04865621352244166,6748.169587096362,0.23026315789473684,0.19399587586981096,0.6918184107544348,0.22516556268725055,29.009954969102697,29.02743857187137,48,🟡 MEDIUM
106,16,12.9699218875,77.497226075,9.450494950500902,0.5,0.0,0.782830229167195,0.0549335863726883,0.5,0.0,5,0.4375,0.375,0.0625,0.0,0.0,0.09977979002286945,511.54628921458016,0.03289473684210526,0.013124379986037315,0.7833753629509836,0.026490066198500063,28.89176122051598,29.02623494019081,49,🟡 MEDIUM
47,52,13.026376003846154,77.72058755961538,15.7615456452579,0.28846153846153844,0.19230769230769232,0.32448409793803196,0.4462549563730484,0.1346153846153846,0.15384615384615385,27,0.19230769230769232,0.28846153846153844,0.09615384615384616,0.1346153846153846,0.0,0.04033296483635933,6620.845632622845,0.17763157894736842,0.19030328887080394,0.5764312906301434,0.17218543029025044,29.045710610598892,28.639421013315417,50,🟡 MEDIUM
107,139,13.143383110647482,77.61783318251798,18.82708435767379,0.5827338129496403,0.1510791366906475,0.020165784026852263,0.2487252971955285,0.2733812949640288,0.30935251798561153,25,0.20863309352517986,0.1223021582733813,0.3237410071942446,0.03597122302158273,0.07913669064748201,0.18243404295377977,1329.3923096897597,0.16447368421052633,0.036843149913375825,0.47590998353122194,0.15894039719100042,28.476250580150076,28.61960411929919,51,🟡 MEDIUM
